correct_red,correct_green,correct_blue,rotten_red,rotten_green,rotten_blue,len_correct_part,len_rotten_part,class_fruit
127.6508002,65.9331502,28.53592252,215.7046497,139.3269966,51.90839419,1546696,1276198,D
127.0519455,64.73242046,28.13213888,213.4851771,137.2174185,51.07003084,1826146,1483469,D
127.8567424,62.87401493,30.67543546,205.9868503,117.6200861,45.22402304,406181,1597843,D
126.8010172,61.99279937,31.23755613,206.6799686,118.3646586,45.97769193,479806,1632221,D
127.2423527,61.47611062,31.3806449,207.0056431,119.3759134,47.86225663,611503,1632937,D
160.0448267,211.6818753,100.6252923,173.2352973,97.17227669,41.01574839,1103723,2368753,D
115.4069254,53.77408367,28.33579695,196.1827664,111.9439939,48.28467455,924222,1797382,D
115.9457303,53.4493156,27.4231634,196.326139,112.211312,48.52275732,909403,1938074,D
114.1646354,52.30838573,27.59606918,197.7793112,113.0478984,48.54593198,919807,2172937,D
135.1720888,79.45232313,37.37747359,208.1195875,137.6719977,60.58051045,943861,1456077,D
134.9209052,79.20669243,37.13344595,207.5833275,137.2166644,60.30556911,928409,1461204,D
134.611887,79.35180798,37.38133456,207.6844676,137.3538649,60.68505741,931791,1466204,D
134.8742315,79.48051699,37.55209865,207.755131,138.0765324,60.58434241,919786,1457533,D
140.0113094,86.07404658,40.44183683,213.914761,145.8728908,62.84729801,982666,1399762,D
148.432648,96.21925995,44.28429164,221.1305547,155.4743825,69.67817789,1180392,1363427,D
140.7541767,90.81251032,41.34622293,214.2200567,147.6720065,63.88267313,1134298,1339055,D
141.9885333,88.7395014,38.07479907,214.1920935,149.6908815,64.38705332,1328237,1307534,D
141.9688114,88.44275332,37.90227233,214.4060136,149.3641765,64.26487,1329590,1325773,D
140.5000232,87.62024799,37.47048696,213.1320957,148.1594465,63.37918017,1316628,1312577,D
140.5816364,87.03003009,36.80253923,212.9126482,147.5222131,62.86816041,1341527,1344668,D
140.2837028,87.00876847,36.39463833,213.1087792,147.575972,62.67191615,1352378,1363271,D
140.2148521,86.88572443,36.75759515,212.8815414,147.7135921,63.87124003,1360981,1370857,D
140.0143128,87.35613187,37.50846961,212.9174967,148.9202842,64.20729579,1354987,1361754,D
139.0207347,86.31937012,36.11501523,211.1499494,146.9133485,62.15943856,1326486,1339133,D
127.0778621,82.2435079,38.03242745,201.961025,145.6889039,67.37683352,1438706,886059,D
127.4553531,82.8326478,38.62584736,200.8781589,144.7175446,66.60096919,1413951,901617,D
126.7743685,82.72383801,38.61786933,200.7705488,144.6215924,67.26568753,1442623,890490,D
127.8636784,82.8189045,38.02826603,200.5893765,144.8890432,66.14415721,1449553,887541,D
